Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_0805_2012Metric",118.700000,-115.662500,270.000000,top
"R1","220k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",135.600000,-128.700000,90.000000,top
"R2","60.4k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",133.000000,-128.709999,270.000000,top
"R3","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",112.200000,-104.200000,90.000000,top
"R4","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",112.512500,-153.200000,0.000000,top
"R5","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",112.512500,-155.500000,0.000000,top
"R6","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",110.400000,-96.800000,90.000000,top
"R7","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",125.800000,-123.100000,90.000000,top
"R8","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",131.600000,-116.412500,270.000000,top
"R9","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",126.600000,-131.300000,270.000000,top
"R10","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",128.200000,-123.100000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",124.300000,-131.287500,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",129.000000,-131.400000,90.000000,top
"SW3","SW_RST","SW_SPST_CK_RS282G05A3",141.200000,-97.800000,270.000000,top
"SW4","SW_PRG","SW_SPST_CK_RS282G05A3",141.200000,-107.900000,90.000000,top
"U1","ESP-07","ESP-07",126.238000,-102.870000,0.000000,top
"U2","MCP1700","SOT-23",118.200000,-124.600000,90.000000,top
